status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
5281959998_10150705803004999,"In 1970, a group of Vietnam War protesters tried to blow up New York University's most expensive computer.",The Mathematicians Who Ended the Kidnapping of an N.Y.U. Computer,link,http://nyti.ms/1OOsVjp,2015-12-06 15:55:01,473,27,113
5281959998_10150705673149999,"""785,000 refugees have been admitted to the United States since 9/11 and not one has been convicted of killing a person in a terrorist act in America,"" Nicholas Kristof writes in The New York Times Opinion Section.","Hysteria About Refugees, but Blindness on Guns",link,http://nyti.ms/1Q8GQ6X,2015-12-06 15:25:02,28017,711,7738
5281959998_10150705789429999,"Former President Jimmy Carter, who had been undergoing treatment for cancer that was removed from his liver but had spread to his brain, says he is free of the disease.",Former President Jimmy Carter Says He Is Free of Cancer,link,http://nyti.ms/1Q96AjC,2015-12-06 15:10:02,15570,509,944
5281959998_10150704806784999,"Mindy Kaling's latest book, ""Why Not Me?"", offers helpful, inspirational advice for teenagers and young women.

For more books coverage, check out The New York Times Books.",Review: Mindy Kaling’s ‘Why Not Me?’,link,http://nyti.ms/1QkYN0D,2015-12-06 14:55:01,371,17,25
5281959998_10150705778314999,"He wanted to find a space big enough to watch the original ""Star Wars"" with his young son — as his own father shared it with him in 1977.

What about you? How old were you when you first saw ""Star Wars""? Who sat next to you as you watched the film?",‘Star Wars’: A 6-Year-Old Fan Sees the Big Picture and Awakens,link,http://nyti.ms/1Q925ph,2015-12-06 14:40:02,1362,229,263
5281959998_10150705761834999,Marco Rubio is portraying Ted Cruz as a hypocrite on immigration. Cruz has welcomed the attacks as confirmation of his own growing strength.,"Marco Rubio, Switching Focus, Aims to Halt Ted Cruz’s Momentum",link,http://nyti.ms/1OOgqV2,2015-12-06 14:25:01,310,77,18
5281959998_10150705755909999,"In his address Sunday night, President Barack Obama will most likely urge Americans to ""not give in to fear,"" detail measures the U.S. is already taking to combat extremism and ask Congress to explore new ones, Attorney General Loretta E. Lynch said.",Obama Will Seek to Reassure Americans on Terrorism Fight in Speech,link,http://nyti.ms/1OOfRuh,2015-12-06 13:55:01,627,194,44
5281959998_10150705746234999,"""We're heartbroken. I've cried for 3 days.""",Rattled Community in California Struggles to Process Attack,link,http://nyti.ms/1OOdc3K,2015-12-06 13:25:01,1260,173,112
5281959998_10150705739349999,"Orange Bowl: Clemson vs. Oklahoma
Cotton Bowl: Alabama vs. Michigan State 

Which team do you want to win the College Football Playoff?",Michigan State Jumps Oklahoma in College Football Playoff Seeding,link,http://nyti.ms/1OOcDqD,2015-12-06 12:43:52,603,187,158
5281959998_10150705688614999,"At one college, students protested a mandatory meal plan, getting more than 1,000 signatures practically overnight on a petition titled ""Don't Force Feed Us.""",Meal Plan Costs Tick Upward as Students Pay for More Than Food,link,http://nyti.ms/1OO6uus,2015-12-06 12:25:01,2771,179,754
5281959998_10150705698414999,"The words of a bystander, shouted at the suspect in a knife attack in a London subway station, became a worldwide trending term on Twitter.","‘You Ain’t No Muslim, Bruv’: Response to London Attack Inspires Hashtag",link,http://nyti.ms/1OO81Rv,2015-12-06 12:05:01,11119,475,1999
5281959998_10150704242744999,"Good end-of-year reading from the April 12, 2015, issue of The New York Times Magazine: The perplexing but wonderful thing about Toni Morrison's career is how much her prominence was created not by the mainstream publishing world, but by Morrison herself, on her own terms, in spite of it.",The Radical Vision of Toni Morrison,link,http://nyti.ms/1NsONNF,2015-12-06 11:55:01,1642,44,488
5281959998_10150705703919999,A penis transplant has never been tried in America. A young soldier with a horrific injury from a bomb blast in Afghanistan will soon have the operation.,Penis Transplants Being Planned to Heal Troops’ Hidden Wounds,link,http://nyti.ms/1OO8KC5,2015-12-06 11:39:55,3399,314,885
5281959998_10150705676869999,Tashfeen Malik's relatives in Pakistan are responding to her actions with shock and horror. One uncle called her conservative but said she appeared to have no interest in extremism or violence.,"Tashfeen Malik, Suspect in California Attack, Remains Mystery to Relatives",link,http://nyti.ms/1Q8IGEZ,2015-12-06 11:25:01,902,460,173
5281959998_10150705668644999,"""I've always thought if more good people had concealed-carry permits, then we could end those Muslims before they walked in and killed us,"" Liberty University President Jerry Falwell Jr. said. ""Let's teach them a lesson if they ever show up here.""",President of Liberty University Urges Students to Get Gun Permits,link,http://nyti.ms/1Q8GEVq,2015-12-06 10:55:01,2176,2333,1832
5281959998_10150705664529999,"Quote of the Day: ""Nigerians still go through all kinds of trauma in their daily lives because of the comatose nature of our leadership. So people look for areas in life where they can find succor, and that's why comedy shows are sold out."" — Ezechi Onyerionwu, a literature professor, on the popularity of comedy shows in Nigeria.",Nigeria’s Comics Pull Punch Lines From Deeper Social Ills,link,http://nyti.ms/1Q8FuJq,2015-12-06 10:25:01,634,25,108
5281959998_10150703542954999,"This rugelach recipe goes rogue with the fillings. (via instagram.com/nytfood)

Photo: Andrew Scrivani for The New York Times",Timeline Photos,photo,https://www.facebook.com/nytimes/photos/a.283559809998.33779.5281959998/10150703542954999/?type=3,2015-12-06 09:55:01,1916,66,255
5281959998_10150704809374999,"""Would it be wrong to break off a relationship that is going well because of his father’s criminal past?""

The Ethicist weighs in.",Should I Marry the Son of a Crook?,link,http://nyti.ms/1THNik1,2015-12-06 08:55:02,721,243,119
5281959998_10150705310354999,"""Instead of helping, quarantines actually made the fight against Ebola more difficult by discouraging health care workers from going to Africa.""

Read on in The New York Times Opinion Section.",The Unfair Treatment of Ebola Workers,link,http://nyti.ms/1TsqOCR,2015-12-06 06:25:00,698,84,68
5281959998_10150705193514999,Are you dealing with the out-of-shows blues? You are not alone.,The Post-Binge-Watching Blues: A Malady of Our Times,link,http://nyti.ms/1jFIoad,2015-12-06 03:25:00,1615,208,361
5281959998_10150705207379999,“I was the only thing that they had. I wanted to be strong for them.”,"A Mother Kept Her Cancer Secret, So Her Sons Focused on the Future",link,http://nyti.ms/1NamSmp,2015-12-06 02:25:01,1584,61,125
5281959998_10150705314289999,"“I’m not a huge wine fan,” Matt Bellassai says. (via The New York Times Styles)",Getting BuzzFeed Clicks by Drinking and Whining,link,http://nyti.ms/1OachrJ,2015-12-06 01:25:00,2437,254,349
5281959998_10150704807249999,"If diamonds are forever, it’s not because they’re indestructible.","Marriages May Not Be Forever, but Our Obsession With Diamonds Is",link,http://nyti.ms/1LTh6DW,2015-12-06 00:25:00,1250,138,191
5281959998_10150705510044999,"You know it's Christmastime in Romania when drunk bears show up to dance in your grandparents' living room: http://nyti.ms/1PKEKu8

(Photo: Diana Zeyneb Alhindawi)",Timeline Photos,photo,https://www.facebook.com/nytimes/photos/a.283559809998.33779.5281959998/10150705510044999/?type=3,2015-12-05 23:25:00,4401,184,833
5281959998_10150703572064999,Jennifer Hudson has dogs named Oscar and Grammy. Is Tony next?,"Jennifer Hudson, Without a Safety Net, Prepares for ‘The Color Purple’",link,http://nyti.ms/21vxQwA,2015-12-05 21:25:01,1329,67,89
5281959998_10150705459274999,"“How can he leave his only child, you know? And how could the mother do this?” 

The two sisters of Syed Rizwan Farook, the man suspected of the mass shooting in San Bernardino, expressed anguish at the tragedy. “It’s the very opposite of what we were taught.""",Sisters of San Bernardino Shooting Suspect Say They Saw No Warning Signs,link,http://nyti.ms/1TMBvAV,2015-12-05 20:29:01,1391,413,166
